,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
251,331.88,335.14,327.24,327.78,23741480.0,333.7530925313,325.8857850449,326.425,330.506583366,23741484.0,1.0,0.0,MSFT,XNAS,2023-08-04
252,191.57,192.37,190.69,191.17,61235200.0,191.8636337052,190.1880558883,190.661,191.0657395067,62243282.0,1.0,0.0,AAPL,XNAS,2023-08-03
253,326.0,329.88,325.95,326.66,18360350.0,328.5148599517,324.6011234427,325.3096,324.650916528,18360352.0,1.0,0.0,MSFT,XNAS,2023-08-03
254,195.04,195.18,191.85,192.58,50389300.0,194.6662370774,191.3457006336,192.0673,194.5266055926,50389327.0,1.0,0.0,AAPL,XNAS,2023-08-02
255,333.63,333.63,326.3551,327.5,27761260.0,332.2493413535,325.0045470202,326.1461,332.2493413535,27761257.0,1.0,0.0,MSFT,XNAS,2023-08-02
256,196.24,196.73,195.28,195.61,35175100.0,196.2121570869,194.7659738522,195.0892,195.7184600516,35281426.0,1.0,0.0,AAPL,XNAS,2023-08-01
257,335.19,338.54,333.7,336.34,18381250.0,337.1390223356,332.319051673,334.9496,333.8028856167,18381253.0,1.0,0.0,MSFT,XNAS,2023-08-01
258,196.06,196.49,195.26,196.45,38824100.0,195.9727888274,194.7460264972,195.927,195.5439206957,38824113.0,1.0,0.0,AAPL,XNAS,2023-07-31
259,336.92,337.695,333.36,335.92,25446020.0,336.297519193,331.9804586926,334.5313,335.52572637,25446022.0,1.0,0.0,MSFT,XNAS,2023-07-31
260,194.67,196.63,194.14,195.83,48291400.0,196.1084308411,193.6289746193,195.3086,194.1575795258,48291443.0,1.0,0.0,AAPL,XNAS,2023-07-28
261,333.67,340.01,333.17,338.37,28484869.0,338.6029390451,331.7912449682,336.9712,332.2891758218,28484868.0,1.0,0.0,MSFT,XNAS,2023-07-28
262,196.02,197.2,192.55,193.22,47460200.0,196.6809199286,192.0431598998,192.7056,195.5040259858,47460180.0,1.0,0.0,AAPL,XNAS,2023-07-27
263,340.48,341.33,329.05,330.72,39635262.0,339.9174764985,327.6882947348,329.3528,339.0709940474,39635262.0,1.0,0.0,MSFT,XNAS,2023-07-27
264,193.67,195.64,193.32,194.5,47471900.0,195.1250262415,192.8111330659,193.9821,193.1602117777,47471868.0,1.0,0.0,AAPL,XNAS,2023-07-26
265,341.44,344.67,333.11,337.77,58383699.0,343.2436546004,331.7314932658,336.3737,340.0270212863,58383702.0,1.0,0.0,MSFT,XNAS,2023-07-26
266,193.33,194.44,192.92,193.62,37283200.0,193.9281849438,192.4071991279,193.1045,192.8211067434,37283201.0,1.0,0.0,AAPL,XNAS,2023-07-25
267,347.11,351.89,345.07,350.98,41637738.0,350.4337761259,343.6419992832,349.5291,345.6735571658,41637739.0,1.0,0.0,MSFT,XNAS,2023-07-25
268,193.41,194.91,192.25,192.75,45377800.0,194.3969477854,191.7439495754,192.2368,192.9008961632,45505097.0,1.0,0.0,AAPL,XNAS,2023-07-24
269,345.85,346.92,342.31,345.11,26719211.0,345.4843434414,340.8934209715,343.6833,344.4187714148,26719207.0,1.0,0.0,MSFT,XNAS,2023-07-24
270,194.1,194.97,191.23,191.94,71917800.0,194.4567898503,190.7266344723,191.429,193.5890799094,71951683.0,1.0,0.0,AAPL,XNAS,2023-07-21
271,349.15,350.3,339.83,343.77,69405375.0,348.8503560116,338.4236839378,342.3489,347.7051150483,69405382.0,1.0,0.0,MSFT,XNAS,2023-07-21
272,195.09,196.47,192.5,193.13,59581200.0,195.9528414724,191.9883046737,192.6158,194.57647398,59581196.0,1.0,0.0,AAPL,XNAS,2023-07-20
